Número de póliza,Fecha de inicio,Fecha de vencimiento,Tipo de cobertura,Modelo del coche,Año del coche,Valor asegurado,Deducible,Estado del seguro,Gastos médicos,Daños a terceros
P000000,2021-04-01,2022-04-01,Cobertura de colisión,Volkswagen Jetta,2013,25311,700,Al día,0,0
P000001,2020-04-12,2021-04-12,Responsabilidad civil,Honda Civic,2016,14068,600,Al día,0,1
P000002,2023-01-31,2024-01-31,Cobertura amplia,Chevrolet Cruze,2012,33597,500,Al día,1,0
P000003,2022-09-30,2023-09-30,Cobertura total,Ford Focus,2022,33622,700,Vencido,0,1
P000004,2022-07-03,2023-07-03,Cobertura de robo,Chevrolet Cruze,2012,46800,600,Vencido,1,1
P000005,2021-07-25,2022-07-25,Responsabilidad civil,Kia Forte,2019,30800,500,Al día,0,0
P000006,2021-02-23,2022-02-23,Cobertura de robo,Nissan Sentra,2011,23481,700,Vencido,1,1
P000007,2020-12-22,2021-12-22,Cobertura de robo,Ford Focus,2015,44965,700,Vencido,0,0
P000008,2024-09-24,2025-09-24,Responsabilidad civil,Volkswagen Jetta,2021,20716,700,Vencido,0,1
P000009,2020-05-10,2021-05-10,Cobertura total,Toyota Corolla,2010,26396,700,Vencido,0,0
P0000010,2020-05-02,2021-05-02,Responsabilidad civil,Nissan Sentra,2018,37476,600,Al día,0,0
P0000011,2021-01-18,2022-01-18,Responsabilidad civil,Toyota Corolla,2017,47099,700,Vencido,1,0
P0000012,2022-06-14,2023-06-14,Cobertura total,Honda Civic,2018,21344,500,Vencido,0,0
P0000013,2022-08-10,2023-08-10,Cobertura de robo,Honda Civic,2010,14968,500,Vencido,1,1
P0000014,2025-08-31,2026-08-31,Cobertura total,Chevrolet Cruze,2019,26801,600,Vencido,0,1
P0000015,2020-04-18,2021-04-18,Cobertura de colisión,Toyota Corolla,2019,45838,500,Vencido,0,0
P0000016,2022-03-25,2023-03-25,Cobertura de robo,Hyundai Elantra,2022,14192,700,Vencido,1,1
P0000017,2024-09-14,2025-09-14,Cobertura de robo,Hyundai Elantra,2018,20949,700,Al día,0,0
P0000018,2022-06-21,2023-06-21,Responsabilidad civil,Mazda 3,2016,21861,500,Al día,0,1
P0000019,2025-01-13,2026-01-13,Cobertura total,Honda Civic,2013,24051,500,Al día,1,1
P0000020,2023-02-13,2024-02-13,Cobertura de colisión,Hyundai Elantra,2021,15312,500,Al día,0,1
P0000021,2020-01-27,2021-01-26,Cobertura amplia,Kia Forte,2020,42732,700,Al día,0,0
P0000022,2021-10-15,2022-10-15,Responsabilidad civil,Subaru Impreza,2020,44769,600,Al día,1,1
P0000023,2024-09-27,2025-09-27,Cobertura total,Toyota Corolla,2020,12894,600,Al día,0,1
P0000024,2023-10-25,2024-10-24,Cobertura total,Nissan Sentra,2012,19467,700,Vencido,1,0
P0000025,2023-02-12,2024-02-12,Cobertura de colisión,Nissan Sentra,2022,43921,700,Al día,1,0
P0000026,2021-09-28,2022-09-28,Cobertura amplia,Honda Civic,2015,16990,600,Vencido,0,1
